iso2c,countryname,year,edate,edate_lag,elec_id,elec_id_lag,parlgov_election_id,parlgov_election_id_lag,incoming_cabinet,incoming_cabinet_name,incoming_caretaker,incoming_minority_cabinet,incoming_president,outgoing_cabinet_lag,outgoing_cabinet_name_lag,outgoing_caretaker_lag,outgoing_minority_cabinet_lag,outgoing_president,cmp_pres,survey_pres,party,party_harmonized,map_vote,map_lr,party_name,partyabbrev,parfam,parfam_harmonized,vote_share,vote_share_lag,parlgov_id_1,parlgov_id_2,parlgov_id_3,parlgov_id_4,parlgov_parfam_1,parlgov_parfam_2,parlgov_parfam_3,parlgov_parfam_4,parlgov_vote_share_1,parlgov_vote_share_lag_1,parlgov_vote_share_2,parlgov_vote_share_lag_2,parlgov_vote_share_3,parlgov_vote_share_lag_3,parlgov_vote_share_4,parlgov_vote_share_lag_4,parlgov_vote_share,parlgov_vote_share_lag,gender_partyleader,gender_partyleader_lag,incoming_cabinet_party,incoming_prime_minister,incoming_support,outgoing_cabinet_party_lag,outgoing_prime_minister_lag,outgoing_support_lag,aux_cabinet_party,aux_cabinet_party_lag,aux_prime_minister,aux_prime_minister_lag,aux_minority,aux_cyid
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42110,42110,4,D,The Greens,Grüne,eco ecologist,eco,0.124,0.1043,1429,NA,NA,NA,eco,NA,NA,NA,0.124,0.1043,NA,NA,NA,NA,NA,NA,0.124,0.1043,1,1,0,0,0,0,0,NA,Opposition,NA,0,0,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42320,42320,1,A,Austrian Social Democratic Party,SPÖ,soc social democratic,soc,0.268,0.353,973,NA,NA,NA,soc,NA,NA,NA,0.268,0.2926,NA,NA,NA,NA,NA,NA,0.268,0.2926,2,2,1,1,0,1,1,0,Main Government,Junior Partner,1,0,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42420,42420,3,C,Austrian Freedom Party,FPÖ,nat nationalist,nat,0.205,0.111,50,NA,NA,NA,nat,NA,NA,NA,0.205,0.1754,NA,NA,NA,NA,NA,NA,0.205,0.1754,2,2,0,0,0,0,0,0,Opposition,Opposition,0,0,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42430,42430,6,F,The New Austria (NEOS),NEOS,lib liberal,lib,0.05,NA,2255,NA,NA,NA,lib,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,0.05,NA,2,NA,0,0,0,NA,NA,NA,Opposition,NA,0,NA,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42520,42520,2,B,Austrian People's Party,ÖVP,chr christian democrat,mrp,0.24,0.343,1013,NA,NA,NA,mrp,NA,NA,NA,0.24,0.2598,NA,NA,NA,NA,NA,NA,0.24,0.2598,2,2,1,0,0,1,0,0,Junior Partner,Junior Partner,0,0,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42710,42710,7,E,Alliance for the Future of Austria,NA,nat nationalist,nat,0.035,0.0107,1536,NA,NA,NA,nat,NA,NA,NA,0.035,0.107,NA,NA,NA,NA,NA,NA,0.035,0.107,2,2,NA,NA,NA,NA,NA,0,Extra-parliamentary,Opposition,0,0,0,AT.2013
AT,Austria,2013,2013-09-29,2008-09-28,AT-2013-09,AT-2008-09,802,607,1070,Faymann II,0,0,NA,268,Faymann I,0,0,NA,0,0,42951,42951,5,G,Team Stronach for Austria,TS,sip special issue,sip,0.0573,NA,2150,NA,NA,NA,lib,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,NA,0.057,NA,2,NA,0,0,0,NA,NA,NA,Opposition,NA,0,NA,0,AT.2013
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42110,42110,4,D,The Greens,Grüne,eco ecologist,eco,0.038,0.124,1429,NA,NA,NA,eco,NA,NA,NA,0.038,0.124,NA,NA,NA,NA,NA,NA,0.038,0.124,1,1,NA,NA,NA,NA,NA,0,Extra-parliamentary,Opposition,0,0,0,AT.2017
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42120,42120,6,F,Peter Pilz List,PILZ,eco ecologist,lef,0.0441,NA,2651,NA,NA,NA,eco,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,0.044,NA,2,NA,0,0,0,NA,NA,NA,Opposition,NA,0,NA,0,AT.2017
AT,Austria,2017,2017-10-15,2013-09-29,AT-2017-10,AT-2013-09,1019,802,1521,Kurz I,0,0,NA,1485,Kern,0,0,NA,0,0,42320,42320,1,A,Austrian Social Democratic Party,SPÖ,soc social democratic,soc,0.269,0.268,973,NA,NA,NA,soc,NA,NA,NA,0.269,0.268,NA,NA,NA,NA,NA,NA,0.269,0.268,2,2,0,0,0,1,1,0,Opposition,Main Government,0,1,0,AT.2017
